model,calibration,split,n,n_default,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,ks_decile,brier,reliability,resolution,uncertainty,score_psi,psi_band
scorecard,uncalibrated,train,2046874,13513,0.006601774217660687,0.006620987499447361,0.9970981244431774,0.8936105513836875,0.787221102767375,0.622471279499945,3,0.005992079820164099,8.285079028259359e-7,0.00016503306670819586,0.006558190794839717,,
scorecard,isotonic,train,2046874,13513,0.006601774217660687,0.006747329559648754,0.9784277111853945,0.8930425602997752,0.7860851205995505,0.6197313354274335,3,0.005937035521513703,1.8394014507194707e-7,0.00021000231153357773,0.006558190794839717,,
scorecard,platt,train,2046874,13513,0.006601774217660687,0.006845866378290073,0.964344591737364,0.8936105513836875,0.787221102767375,0.622471279499945,3,0.005989220197991955,6.30487324740479e-7,0.00016503306670819586,0.006558190794839717,,
scorecard,uncalibrated,validation_in_time,517080,3497,0.006762976715401872,0.006536778849225898,1.0346038731603657,0.8918178661261964,0.7836357322523928,0.6114340235228686,3,0.006219173811685749,1.3895468857529394e-6,0.00016909364009305374,0.006717238861348804,0.00020020983821613327,stable
scorecard,isotonic,validation_in_time,517080,3497,0.006762976715401872,0.006762976715401873,0.9999999999999999,0.8932057669310891,0.7864115338621782,0.6114340235228686,3,0.006071567448876897,1.1162838023943215e-29,0.0001706206357510703,0.006717238861348804,0.00009275619683985003,stable
scorecard,platt,validation_in_time,517080,3497,0.006762976715401872,0.006762567759869695,1.0000604734099086,0.8918178661261964,0.7836357322523928,0.6114340235228686,3,0.006215637571862926,9.288607921827254e-7,0.00016909364009305374,0.006717238861348804,0.00020020983821613327,stable
scorecard,uncalibrated,oot_stress,342603,7446,0.021733610038440994,0.0067601789142816065,3.214945982054765,0.8191027585100449,0.6382055170200898,0.4599264358618254,4,0.01972539015950715,0.0005350514764505297,0.0009146898660428945,0.02126126023313797,0.0018513100802494131,stable
scorecard,isotonic,oot_stress,342603,7446,0.021733610038440994,0.0071702963376479335,3.0310616207488925,0.8183005232442605,0.636601046488521,0.45378410421659654,3,0.01943268352782204,0.00046659770614370847,0.0009167672242384932,0.02126126023313797,0.0017365220625539272,stable
scorecard,platt,oot_stress,342603,7446,0.021733610038440994,0.006982652447604862,3.112514936339972,0.8191027585100449,0.6382055170200898,0.4599264358618254,4,0.019706211745674055,0.0005214357682695594,0.0009146898660428945,0.02126126023313797,0.0018513100802494131,stable
scorecard,uncalibrated,oot_benign,536028,5416,0.010103949793667496,0.003239497852851422,3.1189864147537403,0.7675291366126977,0.5350582732253955,0.38805019506418503,4,0.009742196274674495,0.00008206504215341996,0.00012165454711695104,0.010001859992234543,0.2128444901003815,moderate
scorecard,isotonic,oot_benign,536028,5416,0.010103949793667496,0.003378378531024555,2.9907690037928605,0.7665815633214191,0.5331631266428383,0.3842908129461745,4,0.009649699589087462,0.0000669399932461838,0.00012798299500299618,0.010001859992234543,0.21256629791575926,moderate
scorecard,platt,oot_benign,536028,5416,0.010103949793667496,0.0033916058392058582,2.9791049646362584,0.7675291366126977,0.5350582732253955,0.38805019506418503,4,0.00973659969416898,0.00007835272138340517,0.00012165454711695104,0.010001859992234543,0.2128444901003815,moderate
lightgbm,uncalibrated,train,2046874,13513,0.006601774217660687,0.006592293651940114,1.0014381285514766,0.9162272961581064,0.8324545923162128,0.6655244060037175,2,0.005548598426639587,1.3076600799743053e-6,0.00020084199673162743,0.006558190794839717,,
lightgbm,isotonic,train,2046874,13513,0.006601774217660687,0.0067362360164317054,0.9800390309301773,0.9153998451067414,0.8307996902134829,0.6649853717958504,2,0.005564202375051609,1.600674499522534e-6,0.00023419770780218037,0.006558190794839717,,
lightgbm,platt,train,2046874,13513,0.006601774217660687,0.006766934718783728,0.9755930110180334,0.9162272961581064,0.8324545923162128,0.6655244060037175,2,0.005548626314684949,1.038760558259004e-6,0.00020084199673162743,0.006558190794839717,,
lightgbm,uncalibrated,validation_in_time,517080,3497,0.006762976715401872,0.006586692138234281,1.026763749309657,0.893694187099027,0.7873883741980541,0.6144528808456389,2,0.005902693117655176,5.228917360519045e-7,0.00017017581203843801,0.006717238861348804,0.00015562751688595071,stable
lightgbm,isotonic,validation_in_time,517080,3497,0.006762976715401872,0.006762976715401872,1.0,0.8952097925430058,0.7904195850860116,0.6144528808456389,2,0.005873183343915084,9.989207739304728e-30,0.00020257148563443698,0.006717238861348804,0.0002444166672149092,stable
lightgbm,platt,validation_in_time,517080,3497,0.006762976715401872,0.006762454900417782,1.0000771635436796,0.893694187099027,0.7873883741980541,0.6144528808456389,2,0.00590175560802282,4.264790187094665e-7,0.00017017581203843801,0.006717238861348804,0.00015562751688595071,stable
lightgbm,uncalibrated,oot_stress,342603,7446,0.021733610038440994,0.007752975684918564,2.803260441112718,0.832384718010344,0.6647694360206879,0.48189409407529477,3,0.018653730530812554,0.0004338461482666193,0.0009911461117991112,0.02126126023313797,0.00042546468100405124,stable
lightgbm,isotonic,oot_stress,342603,7446,0.021733610038440994,0.00787630872042617,2.759364927136202,0.8317171552983186,0.6634343105966372,0.48010059687062073,3,0.0186435757645017,0.0004469550939330286,0.0011488817106203367,0.02126126023313797,0.0003401122205736356,stable
