observation_date,year,quarter,n,n_default,default_rate,prepay_rate
1999-03-01,1999,1,3275,4,0.0012213740458015267,0.04122137404580153
1999-06-01,1999,2,13833,24,0.001734981565820863,0.04113352128966963
1999-09-01,1999,3,22414,56,0.0024984384759525295,0.04403497813866333
1999-12-01,1999,4,29213,96,0.0032862081949816863,0.0492588915893609
2000-03-01,2000,1,38146,169,0.00443034656320453,0.07937922717978294
2000-06-01,2000,2,46408,266,0.00573177038441648,0.15094380279262196
2000-09-01,2000,3,55501,362,0.0065224050017116805,0.22295093782094016
2000-12-01,2000,4,64034,472,0.007371084111565731,0.3284192772589562
2001-03-01,2001,1,68530,524,0.007646286297971691,0.35142273456880196
2001-06-01,2001,2,73447,535,0.00728416409111332,0.31383174261712526
2001-09-01,2001,3,79142,577,0.007290692678982083,0.3240757120113214
2001-12-01,2001,4,78769,600,0.007617209816044383,0.34610062334166997
2002-03-01,2002,1,82599,631,0.007639317667284108,0.38553735517379145
2002-06-01,2002,2,87680,699,0.007972171532846715,0.470985401459854
2002-09-01,2002,3,88460,714,0.008071444720777752,0.5390911146280805
2002-12-01,2002,4,86206,691,0.008015683363106976,0.4883766791174628
2003-03-01,2003,1,83709,638,0.007621641639489183,0.4333584202415511
2003-06-01,2003,2,78680,603,0.00766395526182003,0.3554143365531266
2003-09-01,2003,3,75551,578,0.007650461277812339,0.23386851266032216
2003-12-01,2003,4,78999,586,0.0074178154153850045,0.21071152799402523
2004-03-01,2004,1,82499,578,0.0070061455290367156,0.18761439532600396
2004-06-01,2004,2,87569,575,0.0065662506138016875,0.1558884993547945
2004-09-01,2004,3,92234,543,0.005887199947958453,0.1631610902703992
2004-12-01,2004,4,97277,613,0.006301592359961758,0.15465115083729966
2005-03-01,2005,1,102257,622,0.006082713163890981,0.14161377705193776
2005-06-01,2005,2,108062,664,0.006144620680720327,0.12652921471007383
2005-09-01,2005,3,112787,709,0.006286185464636882,0.10573913660262264
2005-12-01,2005,4,117977,625,0.00529764276087712,0.09575595243140612
2006-03-01,2006,1,123557,669,0.0054145050462539555,0.09313110548168052
2006-06-01,2006,2,129059,761,0.005896527944583485,0.09522776404590148
2006-09-01,2006,3,135327,826,0.006103733918582397,0.09485911902281141
2006-12-01,2006,4,140753,1000,0.007104644305982821,0.0892059139059203
2007-03-01,2007,1,24632,188,0.007632348164988633,0.09767781747320559
2007-06-01,2007,2,25550,228,0.008923679060665362,0.0996477495107632
2007-09-01,2007,3,26464,278,0.01050483675937122,0.0975665054413543
2007-12-01,2007,4,27449,374,0.013625268680097636,0.09424751357062187
2008-03-01,2008,1,28124,510,0.018133978096999005,0.11175508462523112
2008-06-01,2008,2,29120,648,0.022252747252747253,0.14419642857142856
2008-09-01,2008,3,30034,774,0.025770793101152028,0.16987414263834322
2008-12-01,2008,4,30800,912,0.02961038961038961,0.19428571428571428
2009-03-01,2009,1,30456,964,0.031652219595482006,0.17513790386130812
2009-06-01,2009,2,29813,933,0.03129507261932714,0.145104484620803
2009-09-01,2009,3,30087,871,0.028949380130953568,0.159902948117127
2009-12-01,2009,4,30074,766,0.025470506084990355,0.18806942874243532
2015-03-01,2015,1,20085,150,0.0074682598954443615,0.1433408015932288
2015-06-01,2015,2,20828,138,0.0066256961782216245,0.1349625504129057
2015-09-01,2015,3,21548,140,0.006497122702803044,0.13764618526081307
2015-12-01,2015,4,22248,144,0.006472491909385114,0.14738403451995685
2016-03-01,2016,1,22932,134,0.005843362986220129,0.14564800279085993
2016-06-01,2016,2,23646,132,0.005582339507739152,0.13964306859511122
2016-09-01,2016,3,24207,126,0.005205105961085636,0.12764902714090964
2016-12-01,2016,4,24719,156,0.0063109349083700795,0.11485092439014523
2017-03-01,2017,1,25573,167,0.006530324952097916,0.11363547491494937
2017-06-01,2017,2,26348,174,0.006603916805829665,0.11158342189160468
2017-09-01,2017,3,27040,179,0.0066198224852071,0.10465976331360946
2017-12-01,2017,4,27875,113,0.004053811659192825,0.09865470852017937
2018-03-01,2018,1,28471,110,0.003863580485406203,0.09283130202662358
2018-06-01,2018,2,29341,114,0.0038853481476432295,0.09444122558876657
2018-09-01,2018,3,30206,120,0.003972720651526187,0.11110375422101569
2018-12-01,2018,4,31059,141,0.004539746933256061,0.1330049261083744
2019-03-01,2019,1,31900,134,0.004200626959247649,0.16053291536050157
2019-06-01,2019,2,32532,676,0.020779540145087913,0.20395303086192057
2019-09-01,2019,3,32681,1111,0.03399528778189162,0.24170007037728344
2019-12-01,2019,4,32789,1257,0.038336027326237455,0.2812833572234591
