model,variant,group,split,n,n_default,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,ks_decile,brier,reliability,resolution,uncertainty,score_psi,psi_band
scorecard,with_delinquency,all,train,2046874,13513,0.006601774217660687,0.006620987499447361,0.9970981244431774,0.8936105513836875,0.787221102767375,0.622471279499945,3,0.005992079820164099,8.285079028256749e-7,0.00016503306670819586,0.006558190794839717,,
scorecard,with_delinquency,current,train,2021101,7996,0.003956259484310779,0.003971800476336882,0.996087166986687,0.8313019514916156,0.6626039029832311,0.5234165606725364,3,0.0039024460076645265,9.064710671791524e-7,0.0000315949540643527,0.00394060749520358,,
scorecard,with_delinquency,30_60_dpd,train,25773,5517,0.21406122686532417,0.21436841859383343,0.9985669916747797,0.6198763494481082,0.23975269889621642,0.17937031875624415,6,0.16985973155169315,0.0064641736333339705,0.004944020967793339,0.1682390180182364,,
scorecard,with_delinquency,all,validation_in_time,517080,3497,0.006762976715401872,0.006536778849225898,1.0346038731603657,0.8918178661261964,0.7836357322523928,0.6114340235228686,3,0.006219173811685748,1.389546885752793e-6,0.00016909364009305374,0.006717238861348804,,
scorecard,with_delinquency,current,validation_in_time,510378,2077,0.0040695327776667485,0.0039537847867360644,1.029275238075423,0.8295585026707735,0.6591170053415469,0.5157584329023476,3,0.004017063174819183,9.287219269738735e-7,0.00003181566857201688,0.004052971680638244,,
scorecard,with_delinquency,30_60_dpd,validation_in_time,6702,1420,0.21187705162638018,0.2032397546214486,1.042498068456239,0.5816138119896966,0.16322762397939328,0.1244740308568564,8,0.1739167003146228,0.009839016238842108,0.0028355211788662557,0.16698516662049243,,
scorecard,with_delinquency,all,oot_stress,342603,7446,0.021733610038440994,0.0067601789142816065,3.214945982054765,0.8191027585100449,0.6382055170200898,0.4599264358618254,4,0.01972539015950715,0.0005350514764505351,0.0009146898660428945,0.02126126023313797,,
scorecard,with_delinquency,current,oot_stress,336602,4966,0.014753328857226041,0.0036607521091998503,4.030135998596953,0.7393525123525447,0.47870502470508947,0.36195266992234887,4,0.014565908951946214,0.00019748528645151597,0.00015582068207301017,0.014535668144856583,,
scorecard,with_delinquency,30_60_dpd,oot_stress,6001,2480,0.4132644559240127,0.18061008083798258,2.2881583021643968,0.5126078780771591,0.02521575615431826,0.0357528790391293,8,0.30912577233371585,0.06699899460649208,0.0006125833036806647,0.24247694539384249,,
scorecard,with_delinquency,all,oot_benign,536028,5416,0.010103949793667496,0.003239497852851421,3.118986414753741,0.7675291366126977,0.5350582732253955,0.38805019506418503,4,0.009742196274674495,0.00008206504215341931,0.00012165454711695104,0.010001859992234543,,
scorecard,with_delinquency,current,oot_benign,531210,4268,0.00803448730257337,0.00220745019326231,3.639713968222991,0.7109375420466809,0.42187508409336183,0.32687580856128684,4,0.00798470099600955,0.00004924163746779103,0.00003678636148164078,0.007969934316358158,,
scorecard,with_delinquency,30_60_dpd,oot_benign,4818,1148,0.23827314238273142,0.1170282145922312,2.036031594713818,0.5126240161778808,0.025248032355761563,0.04576564858680895,10,0.20351535255935818,0.02341751166955246,0.0013084282353804301,0.18149905200179,,
lightgbm,with_delinquency,all,train,2046874,13513,0.006601774217660687,0.006592293651940114,1.0014381285514766,0.9162272961581064,0.8324545923162128,0.6655244060037175,2,0.0055485984266395874,1.3076600799742271e-6,0.00020084199673162743,0.006558190794839717,,
lightgbm,with_delinquency,current,train,2021101,7996,0.003956259484310779,0.003988579968830748,0.9918967440110161,0.8684876103086402,0.7369752206172804,0.5807111649789193,3,0.00386326235100587,1.179461342111858e-6,0.00004574430234627303,0.00394060749520358,,
lightgbm,with_delinquency,30_60_dpd,train,25773,5517,0.21406122686532417,0.210773736582372,1.0155972481973217,0.7704374445738735,0.5408748891477471,0.3926600846843922,4,0.13771149866329735,0.00016503170302427435,0.029567072800836546,0.1682390180182364,,
lightgbm,with_delinquency,all,validation_in_time,517080,3497,0.006762976715401872,0.0065866921382342816,1.0267637493096569,0.893694187099027,0.7873883741980541,0.6144528808456389,2,0.005902693117655175,5.228917360519398e-7,0.00017017581203843801,0.006717238861348804,,
lightgbm,with_delinquency,current,validation_in_time,510378,2077,0.0040695327776667485,0.004006590596149228,1.0157096613709458,0.8317893524768714,0.6635787049537427,0.5244967318348709,4,0.004013076741528678,3.5755801497410174e-7,0.000032968927043855344,0.004052971680638244,,
lightgbm,with_delinquency,30_60_dpd,validation_in_time,6702,1420,0.21187705162638018,0.20306939354770684,1.0433726517068864,0.6997322157100117,0.3994644314200233,0.28103071286484527,4,0.14980281648600635,0.0012411755252125258,0.01736658710562997,0.16698516662049243,,
