cause,age_band,log_hazard_ratio,hazard_ratio
default,age_06_12,1.0231744568467562,2.7820121388536783
default,age_12_24,1.3176844701088375,3.7347634009365267
default,age_24_36,1.579826757670089,4.854114800232536
default,age_36_60,1.727431619459913,5.626185151287379
default,age_60_96,1.545442818089514,4.6900480053566005
prepaid,age_06_12,1.0090947453900274,2.7431166716922077
prepaid,age_12_24,1.4189385896735682,4.132731587493274
prepaid,age_24_36,1.4444362587138126,4.239461509550274
prepaid,age_36_60,1.4248317629195029,4.157158395729533
prepaid,age_60_96,0.8512565429340874,2.3425885664542845
