ltv_band,property_state,n,raw_mean,raw_std,credibility,shrunk_lgd,global_mean
61-70,AL,24,0.4924665325204858,0.3372933503726959,0.32432432432432434,0.4892164948160487,0.48765647671791884
61-70,AR,6,0.4533027943802987,0.46166825199380396,0.10714285714285714,0.4839757250388881,0.48765647671791884
61-70,AZ,122,0.5061835840544033,0.21630145062231956,0.7093023255813954,0.5007977970379834,0.48765647671791884
61-70,CA,313,0.4435299256676068,0.2451987609686613,0.8622589531680441,0.44960796300236056,0.48765647671791884
61-70,CO,17,0.2892853674969417,0.22631064540439128,0.2537313432835821,0.43732350870662606,0.48765647671791884
61-70,CT,26,0.5730554149671276,0.33549461425715216,0.34210526315789475,0.5168719029610693,0.48765647671791884
61-70,DC,3,0.16253203887150305,0.03049041245240175,0.05660377358490566,0.4692532066511406,0.48765647671791884
61-70,DE,3,0.5861476854066789,0.7158718766965132,0.05660377358490566,0.49323145079464115,0.48765647671791884
61-70,FL,355,0.6011496230702618,0.3002371446617049,0.8765432098765432,0.5871381235205898,0.48765647671791884
61-70,GA,60,0.4581181981786558,0.34630177013530267,0.5454545454545454,0.4715446884237754,0.48765647671791884
61-70,HI,7,0.3987784328750469,0.2714397523488771,0.12280701754385964,0.4767416292284434,0.48765647671791884
61-70,IA,7,0.6479707146997281,0.43781598914845027,0.12280701754385964,0.5073441901542814,0.48765647671791884
61-70,ID,14,0.46591760965884255,0.27880930783335467,0.21875,0.4829010995487459,0.48765647671791884
61-70,IL,126,0.7137084309119461,0.4964836501607533,0.7159090909090909,0.6494891257431884,0.48765647671791884
61-70,IN,43,0.7642410527991407,0.5025531532583543,0.46236559139784944,0.6155396678092364,0.48765647671791884
61-70,KS,8,0.29282861511471947,0.42863266314946324,0.13793103448275862,0.46078366822092576,0.48765647671791884
61-70,KY,20,0.48768961753700546,0.29365732700674846,0.2857142857142857,0.48766594552337217,0.48765647671791884
61-70,LA,8,0.33800537280457554,0.3185313203733782,0.13793103448275862,0.46701494514366454,0.48765647671791884
61-70,MA,41,0.5425236523429662,0.29551921192570046,0.45054945054945056,0.5123768525489841,0.48765647671791884
61-70,MD,69,0.552322118228987,0.37832781721026254,0.5798319327731093,0.5251516806192945,0.48765647671791884
61-70,ME,10,0.44106548844624127,0.23054808041395922,0.16666666666666666,0.47989131200597257,0.48765647671791884
61-70,MI,136,0.7780177224085327,0.41725489491753764,0.7311827956989247,0.6999636241046042,0.48765647671791884
61-70,MN,56,0.4044991767910047,0.31532197458517547,0.5283018867924528,0.4437243182659642,0.48765647671791884
61-70,MO,52,0.601128343760781,0.4001747643911057,0.5098039215686274,0.5455048795240838,0.48765647671791884
61-70,MS,8,0.6283743130233568,0.26739134694476624,0.13793103448275862,0.5070658334497034,0.48765647671791884
61-70,MT,4,0.24252782705508535,0.28753300669428306,0.07407407407407407,0.46949879896511637,0.48765647671791884
61-70,NC,49,0.38493681301681854,0.3229620766455075,0.494949494949495,0.4368154310476772,0.48765647671791884
61-70,NE,2,0.250917844680917,0.068958011403652,0.038461538461538464,0.47855114471649574,0.48765647671791884
61-70,NH,9,0.5289677055120153,0.4609746588608786,0.15254237288135594,0.4939581895848149,0.48765647671791884
61-70,NJ,69,0.6151347783220227,0.41322897393184416,0.5798319327731093,0.5615724667236597,0.48765647671791884
61-70,NM,12,0.5823552632269693,0.316722937100271,0.1935483870967742,0.5059852741067673,0.48765647671791884
61-70,NV,61,0.5289580961270336,0.22261174440259007,0.5495495495495496,0.5103537630598648,0.48765647671791884
61-70,NY,62,0.5932402655067928,0.3587067646996169,0.5535714285714286,0.5461046455117597,0.48765647671791884
61-70,OH,103,0.768987173515627,0.4263302734246191,0.673202614379085,0.6770490373072257,0.48765647671791884
61-70,OK,8,0.5170036017130089,0.4675563470771144,0.13793103448275862,0.4917043560275864,0.48765647671791884
61-70,OR,28,0.3722854971971878,0.2192948758282802,0.358974358974359,0.4462412533002205,0.48765647671791884
61-70,PA,54,0.637284320327542,0.5176758472194182,0.5192307692307693,0.5653478570536847,0.48765647671791884
61-70,PR,4,0.7212733364435631,0.5355612164563608,0.07407407407407407,0.5049614292901887,0.48765647671791884
61-70,RI,13,0.6189989613949118,0.2665004411088356,0.20634920634920634,0.5147588941909492,0.48765647671791884
61-70,SC,24,0.5385176998653644,0.43913388018790395,0.32432432432432434,0.5041520085495228,0.48765647671791884
