band,n,n_default,default_rate,cum_n,cum_default,lift,cum_capture_rate,cum_population_share,cum_lift
1,53603,2158,0.04025894073092924,53603,2158,3.9844755321489176,0.3984490398818316,0.10000037311483728,3.9844755321489176
2,53603,887,0.01654758129209186,107206,3045,1.6377339189138507,0.5622230428360414,0.20000074622967456,2.8111047255313846
3,53603,632,0.011790384866518665,160809,3677,1.1669084969036683,0.6789143279172821,0.30000111934451185,2.2630393159888125
4,53603,532,0.009924817640803687,214412,4209,0.9822710765075182,0.7771418020679469,0.40000149245934913,1.942847256118489
5,53602,348,0.0064922950636170295,268014,4557,0.6425502101847321,0.8413958641063516,0.5,1.6827917282127032
6,53603,304,0.005671324366173535,321617,4861,0.561297758004296,0.8975258493353029,0.6000003731148373,1.4958754853366074
7,53603,203,0.0037871014682014066,375220,5064,0.37481396340418455,0.9350073855243723,0.7000007462296746,1.335723412525607
8,53603,180,0.0033580210062869615,428823,5244,0.33234735671307003,0.9682422451994093,0.8000011193445119,1.2103011130693757
9,53603,97,0.0018096002089435293,482426,5341,0.17909829778426553,0.986152141802068,0.9000014924593491,1.0957227849781705
10,53602,75,0.0013992015223312562,536028,5416,0.13848064874670948,1.0,1.0,1.0
