band,n,n_default,default_rate,cum_n,cum_default,lift,cum_capture_rate,cum_population_share,cum_lift
1,53306,1433,0.02688252729523881,53306,1433,5.863294791281023,0.5863338788870704,0.10000075039020291,5.863294791281023
2,53306,321,0.006021836191047912,106612,1754,1.3134107662255468,0.7176759410801964,0.20000150078040582,3.5883527787532845
3,53305,177,0.0033205140230747584,159917,1931,0.7242307377594674,0.7900981996726678,0.3000003751951015,2.6336573717910765
4,53306,187,0.0035080478745356997,213223,2118,0.7651333747170631,0.8666121112929625,0.4000011255853044,2.166524181712955
5,53305,117,0.0021949160491511114,266528,2235,0.4787287927562582,0.9144844517184944,0.5,1.8289689034369887
6,53306,95,0.0017821633587213447,319834,2330,0.38870412084556677,0.9533551554828151,0.600000750390203,1.5889232719505977
7,53306,55,0.0010317787866281469,373140,2385,0.2250392278579597,0.9758592471358429,0.7000015007804058,1.3940816498934552
8,53305,34,0.0006378388518900666,426445,2419,0.13911776883515195,0.989770867430442,0.8000003751951015,1.2372130040427292
9,53306,14,0.00026263460023261923,479751,2433,0.05728271254566247,0.9954991816693944,0.9000011255853043,1.106108818499515
10,53305,11,0.0002063596285526686,533056,2444,0.04500868991725505,1.0,1.0,1.0
