band,n,n_default,default_rate,cum_n,cum_default,lift,cum_capture_rate,cum_population_share,cum_lift
1,34261,3714,0.10840314059718047,34261,3714,4.987811063391865,0.49879129734085415,0.10000204318117471,4.987811063391864
2,34260,1030,0.030064214827787508,68521,4744,1.3833051561434977,0.6371206016653237,0.20000116753209984,3.18558441196633
3,34260,805,0.023496789258610623,102781,5549,1.0811268453354521,0.745232339511147,0.30000029188302496,2.484105381476513
4,34261,602,0.01757099909518111,137042,6151,0.8084712601405231,0.8260811173784582,0.4000023350641997,2.0651907375637535
5,34260,456,0.013309982486865149,171302,6607,0.6124147099043058,0.8873220521085147,0.5000014594151249,1.7746389243472547
6,34260,358,0.010449503794512552,205562,6965,0.4807992678634682,0.9354015578834274,0.6000005837660499,1.5590010796525422
7,34261,222,0.006479670762674762,239823,7187,0.29814056437075764,0.9652162234756917,0.7000026269472247,1.3788751446335104
8,34260,149,0.004349095154699358,274083,7336,0.20010919249066134,0.9852269674993285,0.8000017512981498,1.2315310134016793
9,34260,84,0.0024518388791593695,308343,7420,0.11281323603500369,0.9965081923180231,0.9000008756490749,1.1072302475254234
10,34260,26,0.0007589025102159953,342603,7446,0.03491838258226305,1.0,1.0,1.0
