band,n,n_default,default_rate,cum_n,cum_default,lift,cum_capture_rate,cum_population_share,cum_lift
1,204688,9059,0.044257601813491754,204688,9059,6.703895097638505,0.6703914748760452,0.10000029312991421,6.703895097638504
2,204687,1981,0.00967819158031531,409375,11040,1.46599857269047,0.816991045659735,0.2000000977099714,4.084953232595358
3,204688,926,0.004523958414758071,614063,11966,0.6852640313956568,0.8855176496706875,0.3000003908398856,2.951721653400447
4,204687,553,0.0027016859888512705,818750,12519,0.40923635068037856,0.9264412047657811,0.4000001954199428,2.31610188038321
5,204687,380,0.00185649308456326,1023437,12899,0.28121123554890387,0.9545622733663879,0.5,1.9091245467327758
6,204688,225,0.0010992339560697256,1228125,13124,0.16650583916201167,0.9712129060904314,0.6000002931299142,1.6186873860078947
7,204687,201,0.0009819871315716192,1432812,13325,0.1487459430140255,0.9860874713239103,0.7000000977099714,1.4086961909717797
8,204688,106,0.0005178613304150707,1637500,13431,0.07844275089410327,0.9939317694072375,0.8000003908398856,1.2424141047778137
9,204687,57,0.000278473962684489,1842187,13488,0.04218168533233558,0.9981499296973285,0.9000001954199428,1.1090552366286863
10,204687,25,0.00012213770293179342,2046874,13513,0.018500739180848942,1.0,1.0,1.0
