feature,csi,band,n_bins,empty_bins,window,window_end
loan_age,12.404373315285838,significant,11,10,1999Q1,1999-03-31
remaining_months_to_legal_maturity,6.170846397962425,significant,11,3,1999Q1,1999-03-31
original_interest_rate,3.112995924890985,significant,11,2,1999Q1,1999-03-31
loan_purpose,0.13098411274499916,moderate,5,2,1999Q1,1999-03-31
property_state,0.12570252082450475,moderate,56,4,1999Q1,1999-03-31
original_upb,0.09066097182572093,stable,11,1,1999Q1,1999-03-31
original_dti,0.07766850254449024,stable,11,0,1999Q1,1999-03-31
original_cltv,0.06693426042728846,stable,11,1,1999Q1,1999-03-31
current_actual_upb,0.06509184007560173,stable,11,1,1999Q1,1999-03-31
credit_score,0.057224910401080825,stable,11,0,1999Q1,1999-03-31
original_ltv,0.05414466323618141,stable,10,1,1999Q1,1999-03-31
first_time_homebuyer_flag,0.045280048767692115,stable,4,2,1999Q1,1999-03-31
property_type,0.04412941759844784,stable,7,3,1999Q1,1999-03-31
number_of_borrowers,0.03387868284016236,stable,4,1,1999Q1,1999-03-31
current_loan_delinquency_status,0.013659329846261392,stable,5,2,1999Q1,1999-03-31
occupancy_status,0.013625167279526174,stable,5,2,1999Q1,1999-03-31
prepayment_penalty_flag,0.008974218145837059,stable,4,2,1999Q1,1999-03-31
channel,0.008118886945187243,stable,6,3,1999Q1,1999-03-31
mi_percentage,0.005074201762037359,stable,4,1,1999Q1,1999-03-31
original_loan_term,0.004786644603433941,stable,4,2,1999Q1,1999-03-31
number_of_units,0.0005374605155952162,stable,3,1,1999Q1,1999-03-31
modification_flag,0.00008931486228292908,stable,4,3,1999Q1,1999-03-31
amortization_type,0.0,stable,3,2,1999Q1,1999-03-31
super_conforming_flag,0.0,stable,3,2,1999Q1,1999-03-31
harp_indicator,0.0,stable,3,2,1999Q1,1999-03-31
interest_only_flag,0.0,stable,3,2,1999Q1,1999-03-31
current_deferred_upb,0.0,stable,3,2,1999Q1,1999-03-31
loan_age,10.411308908141281,significant,11,9,1999Q2,1999-06-30
remaining_months_to_legal_maturity,3.4406600346854392,significant,11,1,1999Q2,1999-06-30
original_interest_rate,2.9020660899813033,significant,11,2,1999Q2,1999-06-30
original_upb,0.08481293405151905,stable,11,1,1999Q2,1999-06-30
current_actual_upb,0.061461250915672457,stable,11,1,1999Q2,1999-06-30
property_state,0.059382978559346565,stable,56,3,1999Q2,1999-06-30
credit_score,0.05018548427523661,stable,11,0,1999Q2,1999-06-30
original_dti,0.039760207320585245,stable,11,0,1999Q2,1999-06-30
original_cltv,0.02244866715057241,stable,11,0,1999Q2,1999-06-30
original_ltv,0.020228644744889678,stable,10,0,1999Q2,1999-06-30
