window,window_end,outcome_matured_at,n_rows,n_defaults,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,brier,brier_reliability,evaluated,reason
1999Q1,1999-03-31,2000-03-31,3275,4,0.0012213740458015267,0.0029676569736348537,0.41156173258985523,,,,,,false,"4 defaults, below the 50 needed for a rank-based metric"
1999Q2,1999-06-30,2000-06-30,13833,24,0.001734981565820863,0.0036001446482505925,0.48191996026157935,,,,,,false,"24 defaults, below the 50 needed for a rank-based metric"
1999Q3,1999-09-30,2000-09-30,22414,56,0.0024984384759525295,0.004090837530036931,0.6107400887001186,0.8946541985610775,0.7893083971221551,0.6686644601484928,0.002400137697678476,8.07956936033419e-6,true,""
1999Q4,1999-12-31,2000-12-31,29213,96,0.0032862081949816863,0.004815366989206055,0.6824418995162624,0.9162373641973188,0.8324747283946377,0.6907569747341187,0.0029831649462994485,3.278086115479131e-6,true,""
2000Q1,2000-03-31,2001-03-31,38146,169,0.00443034656320453,0.00532502444977463,0.8319861448508531,0.9048192202287495,0.809638440457499,0.6487523669340194,0.004051443604592241,1.0680491460207614e-6,true,""
2000Q2,2000-06-30,2001-06-30,46408,266,0.00573177038441648,0.006268361840812806,0.914396859973427,0.8877278313463864,0.7754556626927729,0.6201831026354409,0.005134811477596496,1.081250747269494e-6,true,""
2000Q3,2000-09-30,2001-09-30,55501,362,0.0065224050017116805,0.007090503044654897,0.9198790213662666,0.8815937201000505,0.7631874402001011,0.6070706388545513,0.00575409643403346,4.5207268193280576e-7,true,""
2000Q4,2000-12-31,2001-12-31,64034,472,0.007371084111565731,0.008104086280474243,0.9095515344308973,0.8876951651103767,0.7753903302207534,0.6057784098696641,0.00633210858178366,1.1298088939199309e-6,true,""
2001Q1,2001-03-31,2002-03-31,68530,524,0.007646286297971691,0.007885146516021633,0.9697075739094249,0.8857393701004829,0.7714787402009657,0.5929824781962435,0.006550935672750632,2.68177375382645e-7,true,""
2001Q2,2001-06-30,2002-06-30,73447,535,0.00728416409111332,0.00815202323210471,0.8935406442938554,0.8981202022563622,0.7962404045127245,0.6209772271887349,0.0061864828723572655,2.5614740322682555e-6,true,""
2001Q3,2001-09-30,2002-09-30,79142,577,0.007290692678982083,0.008556817654405482,0.8520331942832118,0.9066594561612706,0.8133189123225413,0.6356956856419653,0.0060851867443967745,4.116881436675124e-6,true,""
2001Q4,2001-12-31,2002-12-31,78769,600,0.007617209816044383,0.008687415916448213,0.8768096162660328,0.906252585210676,0.812505170421352,0.6460570899802565,0.006562059876445735,2.8792067112601736e-6,true,""
