window,window_end,n_rows,score_psi,score_psi_band,score_psi_floored_bins,max_feature_csi,worst_feature,worst_feature_floored_bins,worst_feature_n_bins,n_features_csi_moderate,n_features_csi_significant
1999Q1,1999-03-31,3275,0.08820891901272397,stable,0,12.404373315285838,loan_age,10,11,1,2
1999Q2,1999-06-30,13833,0.030208895111368338,stable,0,10.411308908141281,loan_age,9,11,0,2
1999Q3,1999-09-30,22414,0.02642105521667758,stable,0,8.830881526630687,loan_age,8,11,0,2
1999Q4,1999-12-31,29213,0.0441682813325136,stable,0,7.1215803684126815,loan_age,7,11,0,2
2000Q1,2000-03-31,38146,0.07694459952079775,stable,0,6.074367471823111,loan_age,6,11,0,2
2000Q2,2000-06-30,46408,0.10590049210244552,moderate,0,4.900256015436931,loan_age,5,11,0,2
2000Q3,2000-09-30,55501,0.1359174984032663,moderate,0,3.996593450263378,loan_age,4,11,0,2
2000Q4,2000-12-31,64034,0.1545043175090668,moderate,0,3.396730541048772,loan_age,4,11,0,2
2001Q1,2001-03-31,68530,0.14581005240837325,moderate,0,2.819201996126866,loan_age,3,11,0,2
2001Q2,2001-06-30,73447,0.11135851949887711,moderate,0,2.398500028685287,original_interest_rate,1,11,0,2
2001Q3,2001-09-30,79142,0.09321406930766352,stable,0,2.3117075162996454,original_interest_rate,1,11,0,2
2001Q4,2001-12-31,78769,0.06476645460032811,stable,0,1.8941173645549694,original_interest_rate,1,11,0,2
2002Q1,2002-03-31,82599,0.040376650098486365,stable,0,1.603940103560439,original_interest_rate,1,11,0,2
2002Q2,2002-06-30,87680,0.0358427653904769,stable,0,1.5670851334665754,original_interest_rate,1,11,0,2
2002Q3,2002-09-30,88460,0.029643776848824487,stable,0,1.2912630313797786,original_interest_rate,1,11,1,1
2002Q4,2002-12-31,86206,0.01095796717979702,stable,0,0.5948961791976964,original_interest_rate,1,11,0,1
2003Q1,2003-03-31,83709,0.003402810898259735,stable,0,0.29590081110183614,original_interest_rate,1,11,0,1
2003Q2,2003-06-30,78680,0.004139171876690257,stable,0,0.08636700210362702,original_interest_rate,1,11,0,0
2003Q3,2003-09-30,75551,0.022490854736533762,stable,0,0.0538233610500876,loan_age,1,11,0,0
2003Q4,2003-12-31,78999,0.026687870604606655,stable,0,0.09397356658712752,original_interest_rate,1,11,0,0
2004Q1,2004-03-31,82499,0.029619896130413353,stable,0,0.15603499083892763,original_interest_rate,1,11,1,0
2004Q2,2004-06-30,87569,0.04086322872984782,stable,0,0.2680981617971081,original_interest_rate,1,11,0,1
2004Q3,2004-09-30,92234,0.03339675938648772,stable,0,0.31347617012114726,original_interest_rate,1,11,0,1
2004Q4,2004-12-31,97277,0.02832694876527262,stable,0,0.38775439719298826,original_interest_rate,1,11,0,1
2005Q1,2005-03-31,102257,0.027371693750898776,stable,0,0.46636746811854946,original_interest_rate,1,11,0,1
2005Q2,2005-06-30,108062,0.024688744839867403,stable,0,0.5430590860214045,original_interest_rate,1,11,0,1
2005Q3,2005-09-30,112787,0.02521668815933687,stable,0,0.6308109341707172,original_interest_rate,1,11,0,1
2005Q4,2005-12-31,117977,0.022406389463813063,stable,0,0.6861407706057236,original_interest_rate,1,11,0,1
2006Q1,2006-03-31,123557,0.018164697172465626,stable,0,0.6923998257092705,original_interest_rate,1,11,1,1
2006Q2,2006-06-30,129059,0.01290625747468063,stable,0,0.6666875511775527,original_interest_rate,1,11,1,1
2006Q3,2006-09-30,135327,0.008379990059559531,stable,0,0.5923467618873953,original_interest_rate,1,11,1,1
2006Q4,2006-12-31,140753,0.00572183351916141,stable,0,0.5932390357713224,original_interest_rate,1,11,1,1
2007Q1,2007-03-31,24632,0.006419661663857009,stable,0,0.6361473174146355,original_interest_rate,1,11,0,2
2007Q2,2007-06-30,25550,0.005114147904816815,stable,0,0.6626737178321525,original_interest_rate,1,11,0,2
2007Q3,2007-09-30,26464,0.0038737251266696736,stable,0,0.6279156424466157,original_interest_rate,1,11,0,2
2007Q4,2007-12-31,27449,0.004779517942971881,stable,0,0.6197322442076076,original_interest_rate,1,11,0,2
2008Q1,2008-03-31,28124,0.004912525477643356,stable,0,0.6371667172662245,original_interest_rate,1,11,1,2
2008Q2,2008-06-30,29120,0.0038857291431300817,stable,0,0.6658951492433463,original_interest_rate,1,11,1,2
2008Q3,2008-09-30,30034,0.004454718992707628,stable,0,0.6721340749248712,original_interest_rate,1,11,2,2
2008Q4,2008-12-31,30800,0.005101503877439013,stable,0,0.679908534711654,original_interest_rate,1,11,1,3
2009Q1,2009-03-31,30456,0.0020812507194819117,stable,0,0.7050332462372076,loan_age,1,11,1,3
2009Q2,2009-06-30,29813,0.0017403343738092226,stable,0,0.7607302443267043,loan_age,1,11,1,3
2009Q3,2009-09-30,30087,0.005975279456760291,stable,0,0.7760689259678308,loan_age,1,11,2,3
2009Q4,2009-12-31,30074,0.011347999927557431,stable,0,0.8014367588336857,loan_age,1,11,2,3
2015Q1,2015-03-31,20085,0.16283933526005948,moderate,0,5.564150399877427,loan_age,2,11,1,5
2015Q2,2015-06-30,20828,0.1835376819524439,moderate,0,5.0304237121203705,loan_age,2,11,2,5
2015Q3,2015-09-30,21548,0.19682735915918842,moderate,0,4.676640585264604,loan_age,2,11,2,5
2015Q4,2015-12-31,22248,0.20506181346167468,moderate,0,4.005684728236095,loan_age,2,11,2,5
2016Q1,2016-03-31,22932,0.21150007432086215,moderate,0,3.2476644364026797,loan_age,1,11,1,6
2016Q2,2016-06-30,23646,0.21398958696626252,moderate,0,3.066233508056353,original_interest_rate,1,11,1,6
2016Q3,2016-09-30,24207,0.21972094841759604,moderate,0,3.1734974313785713,original_interest_rate,1,11,1,6
2016Q4,2016-12-31,24719,0.2258996488094565,moderate,0,3.2882500263694405,original_interest_rate,1,11,1,6
2017Q1,2017-03-31,25573,0.23536169208922197,moderate,0,3.406516729191703,original_interest_rate,1,11,1,6
2017Q2,2017-06-30,26348,0.23497504473868286,moderate,0,3.5151500768469557,original_interest_rate,1,11,0,7
2017Q3,2017-09-30,27040,0.22552731999475592,moderate,0,3.617250896587096,original_interest_rate,1,11,1,7
2017Q4,2017-12-31,27875,0.22760028071441196,moderate,0,3.7248822283630716,original_interest_rate,1,11,1,7
2018Q1,2018-03-31,28471,0.23586847943174044,moderate,0,3.815652315588357,original_interest_rate,1,11,1,7
2018Q2,2018-06-30,29341,0.23477263889274755,moderate,0,3.8867583582804817,original_interest_rate,1,11,1,7
2018Q3,2018-09-30,30206,0.22686612806936968,moderate,0,3.937087186754304,original_interest_rate,1,11,1,7
2018Q4,2018-12-31,31059,0.22223298405805558,moderate,0,3.9429831096672343,original_interest_rate,1,11,1,7
2019Q1,2019-03-31,31900,0.22046478706024591,moderate,0,3.959025667410639,original_interest_rate,1,11,1,7
2019Q2,2019-06-30,32532,0.20900321538442662,moderate,0,4.005888386883528,original_interest_rate,1,11,2,7
2019Q3,2019-09-30,32681,0.21623288928910556,moderate,0,4.062952173541383,original_interest_rate,1,11,3,6
2019Q4,2019-12-31,32789,0.2127529895506448,moderate,0,4.1215541320622595,channel,2,6,4,6
