window,window_end,outcome_matured_at,n_rows,n_defaults,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,brier,brier_reliability,evaluated,reason
1999Q1,1999-03-31,2000-03-31,3275,4,0.0012213740458015267,0.003198838395515576,0.3818179897783397,,,,,,false,"4 defaults, below the 50 needed for a rank-based metric"
1999Q2,1999-06-30,2000-06-30,13833,24,0.001734981565820863,0.003913610562793126,0.44331993129705133,,,,,,false,"24 defaults, below the 50 needed for a rank-based metric"
1999Q3,1999-09-30,2000-09-30,22414,56,0.0024984384759525295,0.004458079483335362,0.5604293250696586,0.854589440660422,0.709178881320844,0.6005680293407282,0.002418260416575216,0.000011541764823407784,true,""
1999Q4,1999-12-31,2000-12-31,29213,96,0.0032862081949816863,0.00525763110470164,0.6250359010625512,0.8915127617314055,0.783025523462811,0.6466350556948404,0.0031105164477384104,5.807712842427505e-6,true,""
2000Q1,2000-03-31,2001-03-31,38146,169,0.00443034656320453,0.005672188205086463,0.7810648030387413,0.875890000690234,0.7517800013804681,0.6052448749344239,0.004212813395168056,2.8317675388383944e-6,true,""
2000Q2,2000-06-30,2001-06-30,46408,266,0.00573177038441648,0.006579444691318158,0.8711632445181554,0.8681602118729271,0.7363204237458543,0.5746701177111649,0.005429287355559265,8.681937488542509e-7,true,""
2000Q3,2000-09-30,2001-09-30,55501,362,0.0065224050017116805,0.007248631439126517,0.8998119240143974,0.8611253838741447,0.7222507677482894,0.5669357071365295,0.006053047033165372,1.719524317667479e-6,true,""
2000Q4,2000-12-31,2001-12-31,64034,472,0.007371084111565731,0.008232129679857685,0.8954042754697178,0.8644419281800927,0.7288838563601854,0.5659168893683947,0.006765520781120739,2.445632984261443e-6,true,""
2001Q1,2001-03-31,2002-03-31,68530,524,0.007646286297971691,0.007871569893452179,0.9713800933575035,0.8620396342442169,0.7240792684884338,0.5465122296124298,0.006966488120900778,3.052187847068648e-7,true,""
2001Q2,2001-06-30,2002-06-30,73447,535,0.00728416409111332,0.008321167862435808,0.8753776166439537,0.8765698863205216,0.7531397726410431,0.5674455341376828,0.006650414173050515,4.271384453353895e-6,true,""
2001Q3,2001-09-30,2002-09-30,79142,577,0.007290692678982083,0.008635883496959968,0.8442324032681284,0.8891762894670112,0.7783525789340224,0.6053226633148038,0.006630663844690291,4.634318268199647e-6,true,""
2001Q4,2001-12-31,2002-12-31,78769,600,0.007617209816044383,0.008832722157681461,0.862385307729849,0.888812753990286,0.7776255079805721,0.6240415851125979,0.007112457619941262,7.2494167817354535e-6,true,""
2002Q1,2002-03-31,2003-03-31,82599,631,0.007639317667284108,0.00783867928427279,0.9745669379038541,0.8939357069652322,0.7878714139304643,0.6317453945152111,0.006939335444167899,1.3986568089360875e-6,true,""
2002Q2,2002-06-30,2003-06-30,87680,699,0.007972171532846715,0.007828424536951673,1.0183621870807502,0.893058675156048,0.786117350312096,0.6257231057268537,0.00714848164722851,2.330519148459272e-6,true,""
2002Q3,2002-09-30,2003-09-30,88460,714,0.008071444720777752,0.008028131088675318,1.0053952322930468,0.8921162805604999,0.7842325611209997,0.6304721783865461,0.007202414459542973,1.7181697188160777e-6,true,""
2002Q4,2002-12-31,2003-12-31,86206,691,0.008015683363106976,0.008318852392898344,0.963556387891895,0.9026460519743619,0.8052921039487237,0.6446080625152466,0.007140774140328793,8.33156194028351e-7,true,""
2003Q1,2003-03-31,2004-03-31,83709,638,0.007621641639489183,0.00737744666596384,1.0331002018153446,0.9009976320818438,0.8019952641636876,0.6498464564568384,0.006834787980970283,3.141889649070369e-6,true,""
2003Q2,2003-06-30,2004-06-30,78680,603,0.00766395526182003,0.007680397536967434,0.9978591895708179,0.9155500190726801,0.8311000381453602,0.6756516523818569,0.006751289031158969,1.7439454482906888e-6,true,""
2003Q3,2003-09-30,2004-09-30,75551,578,0.007650461277812339,0.00742493216554915,1.030374568714529,0.9144222831407312,0.8288445662814623,0.6736938331247924,0.006900186905053605,2.2011135498063545e-6,true,""
2003Q4,2003-12-31,2004-12-31,78999,586,0.0074178154153850045,0.0072244291921237155,1.0267683740982783,0.928315120572967,0.8566302411459339,0.7136591328429948,0.006565032187876455,3.6429993768064266e-6,true,""
