bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,53603,36,0.00023469072039031036,0.0006716042012573923,0.00048518096661699444,0.000929591043014527,false
2,53603,99,0.00039137462157496565,0.001846911553457829,0.0015173978187404957,0.0022478204505683424,false
3,53603,163,0.0005557583371892329,0.003040874577915415,0.002609031539427864,0.003543941660346819,false
4,53603,190,0.0007482789422272908,0.0035445777288584594,0.003075803322885524,0.004084503988179437,false
5,53602,264,0.0009926923249796412,0.0049251893586060224,0.004366979120643049,0.005554354904665512,false
6,53603,333,0.0013054533346892458,0.006212338861630879,0.00558164416094293,0.006913803072881654,false
7,53602,506,0.0017381793612644713,0.009439946270661543,0.008655754459538919,0.010294446324102362,false
8,53603,670,0.0024107654216305083,0.012499300412290356,0.011593106102149928,0.013475363187408872,false
9,53603,952,0.003787309971563083,0.017760199988806596,0.016676148992925983,0.018913365458997942,false
10,53603,2203,0.0248439622019211,0.04109844598250098,0.039450512269237445,0.04281214933913606,false
