bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,34265,30,0.0002654607832453432,0.0008755289654166059,0.0006133769430893617,0.0012495824130770703,false
2,34256,73,0.000469971403540159,0.0021310135450723963,0.0016953590890193895,0.0026783172749182274,false
3,34260,115,0.0007044000728609563,0.003356684179801518,0.0027974106996322004,0.004027319069845975,false
4,34261,189,0.001007540439606931,0.005516476460114999,0.004785708502006122,0.0063581183059944115,false
5,34260,276,0.0014056575286535999,0.008056042031523642,0.007163060097366396,0.009059331647258062,false
6,34260,434,0.0019570666651586993,0.012667834208990076,0.011537044382959773,0.013907897622988366,false
7,34261,597,0.0027835200685125735,0.01742506056449024,0.01609264737200702,0.018865677482939523,false
8,34259,808,0.004229913515264153,0.02358504334627397,0.022030732691240958,0.0252461827615397,false
9,34260,1097,0.007314209244068491,0.03201984821949796,0.030207461195686718,0.03393716956505637,false
10,34261,3827,0.057391049799377064,0.11170135139079419,0.10840931868316878,0.11508044904343365,false
