bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,204690,7,0.0002689657401331102,0.000034198055596267526,0.000016565945343227176,0.00007059573325707103,false
2,204685,24,0.0004747700615744578,0.00011725334049881526,0.00007879878957771906,0.0001744707997717501,false
3,204688,75,0.0007122823810281066,0.00036641131868990853,0.00029235022462620596,0.0004592256942002585,false
4,204687,90,0.00102307768414128,0.0004396957305544563,0.0003577688327841284,0.0005403732507134325,false
5,204687,174,0.001434246203474003,0.0008500784124052822,0.0007328453936753387,0.0009860466501168449,false
6,204688,289,0.0020002417269822763,0.0014119049480184477,0.0012583282057373622,0.0015841957301164628,false
7,204688,452,0.0028630946320059064,0.0022082388806378486,0.002014018053262719,0.0024211438581773666,false
8,204687,809,0.004372442184926591,0.003952376066872835,0.003689714430878897,0.004233656479426209,false
9,204686,1660,0.0075339504387245,0.00810998309605933,0.007730559536316197,0.008507869469890161,false
10,204688,9933,0.04523978353822592,0.04852751504729149,0.04760507728670678,0.04946689840714644,false
