bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,53606,75,0.0003128104006819292,0.0013990971159944783,0.001116407299728498,0.0017532422764386748,false
2,53605,97,0.0005033348145700355,0.0018095326928458167,0.0014836990460369022,0.0022067641954167457,false
3,53599,180,0.0006783549877180947,0.0033582716095449544,0.002902813868870382,0.0038849132164597493,false
4,53606,203,0.0008787139226499334,0.003786889527291721,0.0033013036251523685,0.004343588575014003,false
5,53598,304,0.0011223201558503858,0.0056718534273666925,0.005070545035099126,0.006344015401051891,false
6,53688,348,0.0014353592917368233,0.006481895395619133,0.005837501146348806,0.007196908548044748,false
7,53517,532,0.0018668793159512503,0.009940766485415848,0.009134725250098853,0.010817155731486587,false
8,53606,632,0.0025348251193542176,0.011789725030780136,0.010910341373516201,0.012739074933647485,false
9,53602,887,0.003909109397678833,0.016547890004104324,0.015502063241675709,0.0176630062813241,false
10,53601,2158,0.01915458494184256,0.04026044290218466,0.0386290294268727,0.04195774858158763,false
