bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,53320,11,0.00031234063736810814,0.00020630157539384847,0.00011520325375178651,0.0003694103471015987,true
2,53293,14,0.0005022557529129096,0.0002626986658660612,0.00015649687209841166,0.00044093926012147097,false
3,53307,34,0.0006765310142531248,0.0006378149211173017,0.00045648478892097624,0.0008911108755779077,true
4,53306,55,0.0008759266128244288,0.0010317787866281469,0.0007928429002757283,0.0013426250678410258,true
5,53302,95,0.0011182218215000763,0.0017822970995459832,0.0014583391103650404,0.0021780627081943497,false
6,53306,117,0.0014290999987101132,0.0021948748733726033,0.001831872462200106,0.0026296200561075176,false
7,53321,187,0.0018581528936084612,0.003507061007858067,0.003039799177933238,0.004045856371787927,false
8,53303,177,0.002522180787799589,0.0033206386132112638,0.0028667553403880536,0.0038461064429746897,false
9,53306,321,0.0038883885669453453,0.006021836191047912,0.005399722102836604,0.006715141516099044,false
10,53292,1433,0.018838547697715723,0.026889589431809652,0.025549938036376965,0.028297442552183437,false
