bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,34263,26,0.00037847758633930193,0.0007588360622245571,0.0005179251811103155,0.0011116810633928493,false
2,34259,84,0.0006684144276640447,0.0024519104468898683,0.00198106390667989,0.003034324528842141,false
3,34259,149,0.0009635734053651986,0.004349222102221314,0.003705800594207065,0.005103785708886528,false
4,34261,222,0.0013114918616430999,0.006479670762674762,0.005683650631582212,0.007386348812568368,false
5,34261,358,0.0017562403337179433,0.010449198797466508,0.009426010658976958,0.011582154800822291,false
6,34262,456,0.0023629716595794104,0.013309205533827565,0.012149196956236143,0.014578337516288502,false
7,34260,602,0.0032482353281823796,0.017571511967308814,0.016233362278858438,0.019017835701155388,false
8,34260,805,0.004695279674842759,0.023496789258610623,0.021945445121462515,0.025154978827214014,false
9,34258,1030,0.0073732699872934414,0.03006596999241053,0.028309671048603113,0.03192764752346561,false
10,34260,3714,0.044844644275628356,0.10840630472854641,0.10515805913332583,0.11174235665200001,false
