bin,n,n_default,mean_predicted,observed_rate,ci_low,ci_high,within_interval
1,204709,25,0.0003649229975805626,0.00012212457683834126,0.00008272584345107853,0.00018028383604440482,false
2,204666,57,0.000657145511894641,0.00027850253583887893,0.00021498640302502478,0.0003607772658221203,false
3,204689,106,0.0009561069121296036,0.0005178588004240579,0.00042823022597566254,0.0006262348802899919,false
4,204691,201,0.001317567063493453,0.0009819679419222145,0.0008553256791839451,0.0011273401072537605,false
5,204686,225,0.0017901218535445597,0.0010992446967550296,0.0009647509666765219,0.0012524643850291342,false
6,204683,380,0.0024375345848122094,0.001856529364920389,0.0016791562361215275,0.002052600301703427,false
7,204689,553,0.0033904578884744758,0.002701659590891548,0.0024859323416889,0.0029360523789832586,false
8,204692,926,0.004914934544310502,0.004523870009575362,0.0042423070378819205,0.00482402985296322,false
9,204682,1981,0.0078084822048929406,0.009678428000508105,0.009263404506757871,0.010111855797304507,false
10,204687,9059,0.04257281786281626,0.04425781803436466,0.0433753575313633,0.04515738447930654,false
