feature,coefficient,expected_sign,sign_ok,points_per_woe_unit
current_loan_delinquency_status,-0.77778620620614,negative,true,22.442166051308778
number_of_borrowers,-0.7559907808691981,negative,true,21.813283010355345
property_state,-0.6786701768446091,negative,true,19.582281970659068
credit_score,-0.6423470486157836,negative,true,18.53421803135306
original_loan_term,-0.3946068949432476,negative,true,11.38594820870431
loan_age,-0.345866160917396,negative,true,9.979587903336629
original_dti,-0.3434428016864298,negative,true,9.90966453644048
channel,-0.32625613969185846,negative,true,9.413762295860423
original_interest_rate,-0.3259132258939197,negative,true,9.403867895145648
property_type,-0.2461842906329219,negative,true,7.103377104817675
original_ltv,-0.20266775849256785,negative,true,5.847755402506195
original_cltv,-0.1857744907958342,negative,true,5.360318731896448
original_upb,-0.16626552142139242,negative,true,4.797408864509212
current_actual_upb,-0.07946430467121282,negative,true,2.2928551655369684
mi_percentage,-0.05414698321127923,negative,true,1.5623516831602102
